,RandomForest,LogisticRegression,MLC,Neural
0,0.975737392959,0.901760228354,0.926666666667,0.982142857143
1,0.973352367357,0.911729716869,0.922619047619,0.980476190476
2,0.975017844397,0.909350463954,0.932142857143,0.984285714286
3,0.969545562693,0.909826314537,0.934285714286,0.982380952381
4,0.973339681028,0.907402999286,0.924523809524,0.980952380952
5,0.975946653965,0.921886163372,0.934285714286,0.982142857143
6,0.973797046212,0.906860409719,0.929047619048,0.979523809524
7,0.968794664126,0.908766079085,0.92380952381,0.98
8,0.9692564347,0.911344137274,0.929761904762,0.979047619048
9,0.972586412396,0.91084624553,0.933333333333,0.978333333333
